Probe_ID	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Normal14	Normal15	Normal16	Normal17	Normal18	Normal19	Normal20	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5	Tumor6	Tumor7	Tumor8	Tumor9	Tumor10	Tumor11	Tumor12	Tumor13	Tumor14	Tumor15	Tumor16	Tumor17	Tumor18	Tumor19	Tumor20	Tumor21	Tumor22	Tumor23	Tumor24	Tumor25	Tumor26	Tumor27	Tumor28	Tumor29	Tumor30
Marker1	0.031709787	0.026623044	0.0318156	0.030722366	0.030749915	0.024245359	0.0409669	0.016706538	0.021757501	0.023683868	0.026189176	0.030036414	0.024335065	0.02297534	0.022468616	0.025687431	0.026331182	0.02073852	0.023995799	0.022776622	0.782844506	0.834257298	0.038956499	0.792876334	0.698483673	0.433131357	0.578960562	0.52349515	0.430712198	0.55449344	0.449341779	0.292245178	0.46744666	0.383691697	0.208045866	0.040609924	0.574897424	0.376519395	0.08214955	0.305278398	0.453875549	0.507178346	0.380122918	0.785441248	0.331982839	0.680246588	0.023245443	0.274387398	0.305668513	0.572581854
Marker2	0.050651909	0.057766924	0.050089914	0.051194856	0.046079318	0.041711611	0.041131901	0.04192204	0.048871849	0.043923229	0.041679786	0.050536232	0.041159178	0.041802459	0.067373808	0.0449175	0.049452886	0.043439141	0.044521919	0.042589624	0.649932944	0.671647777	0.046443688	0.545279312	0.604346404	0.400217981	0.582085081	0.24069497	0.375054263	0.508541336	0.398335848	0.114459566	0.424507497	0.276563545	0.112024026	0.049567054	0.33728853	0.45706882	0.051852132	0.369100211	0.403195072	0.532469961	0.309172979	0.242848097	0.088796058	0.613018743	0.095684302	0.289047014	0.068070071	0.344710566
Marker3	0.023606028	0.039599717	0.016816674	0.044589875	0.026836658	0.017763371	0.035066144	0.021756159	0.028263424	0.059678986	0.034322932	0.064919353	0.025162484	0.049111921	0.025926316	0.046377809	0.029883077	0.033303174	0.068398981	0.031269419	0.392313217	0.019123632	0.048114399	0.524598659	0.635770816	0.02558081	0.465073012	0.479874988	0.378192469	0.505250041	0.299030049	0.245160063	0.410282097	0.203338676	0.279545221	0.018493353	0.510843651	0.027548289	0.102728024	0.021543752	0.379488498	0.271251327	0.024262858	0.07846683	0.046828154	0.254011896	0.097865966	0.278238678	0.023247012	0.196926495
Marker4	0.03066713	0.037669891	0.03051965	0.030482713	0.039713272	0.035739041	0.028387745	0.029888114	0.027470688	0.041916133	0.031598219	0.041245915	0.026054097	0.306433136	0.027839913	0.033900293	0.035356593	0.029212688	0.07178825	0.033767486	0.578546295	0.751748588	0.060433077	0.668698976	0.56611668	0.120068414	0.357581219	0.405224967	0.161438135	0.045887944	0.203108894	0.113958285	0.277978877	0.07054142	0.111561637	0.027583076	0.443297588	0.270295243	0.041931813	0.136816422	0.223905853	0.248677968	0.195915067	0.595357503	0.22479094	0.560483871	0.037387141	0.114640225	0.218150802	0.219160918
Marker5	0.036180017	0.033111042	0.021332583	0.072299819	0.040776726	0.032016225	0.025413054	0.028719513	0.032776022	0.063404458	0.039873114	0.045122637	0.045363317	0.04610173	0.042977274	0.029247201	0.026153819	0.044244006	0.027441588	0.049199202	0.532068603	0.31076275	0.043123593	0.439576156	0.142792352	0.142404039	0.58861895	0.231999386	0.334659226	0.49788186	0.202615733	0.025509289	0.045321991	0.374432491	0.172150475	0.041491502	0.157324181	0.381673601	0.061600929	0.434642255	0.321751632	0.304154131	0.109410773	0.122703264	0.330347921	0.316333303	0.02741558	0.131973134	0.311100024	0.371336372
Marker6	0.0493606	0.052834599	0.035704032	0.051543589	0.04810387	0.047288209	0.037582031	0.042742174	0.055588778	0.058922295	0.073000402	0.061265318	0.065092769	0.056629782	0.058179619	0.067617614	0.066081256	0.056145698	0.057862955	0.060726682	0.337730994	0.045726188	0.053176058	0.078428131	0.054218975	0.243576809	0.269485422	0.282356564	0.24656114	0.05944973	0.155334499	0.306967881	0.336806776	0.049699562	0.084468058	0.045918871	0.330959846	0.052031546	0.051444334	0.05166651	0.184364448	0.201880779	0.048214618	0.046631548	0.039909746	0.040224367	0.053058062	0.042022476	0.04066113	0.039230691
Marker7	0.027385155	0.023470388	0.027403631	0.032205439	0.025389863	0.032348856	0.022581533	0.032542459	0.034954307	0.025471229	0.025466389	0.028298008	0.026297588	0.02130505	0.02337913	0.027075174	0.022854539	0.018327208	0.019198411	0.023144564	0.32674097	0.027556099	0.035134604	0.357669935	0.233150447	0.230004615	0.271525896	0.269501356	0.15082817	0.41633998	0.029888017	0.343715513	0.062551733	0.034616379	0.102907834	0.144180971	0.31024834	0.293740055	0.057635498	0.42696678	0.167925878	0.291901949	0.113793418	0.327928631	0.320576237	0.159155022	0.030775454	0.107221792	0.041022619	0.543432837
Marker8	0.024801692	0.022555613	0.021188248	0.074031552	0.020887265	0.022186556	0.072655397	0.017153429	0.024547098	0.029116835	0.030380372	0.027194959	0.031040967	0.022826261	0.020196067	0.026789343	0.027001908	0.033426664	0.052393084	0.089916909	0.54234987	0.013768082	0.122442275	0.48139156	0.547058617	0.450138699	0.054481221	0.480211453	0.513437377	0.479848349	0.234600957	0.021763014	0.532010218	0.021073426	0.307147146	0.017956565	0.208351779	0.030672682	0.430947183	0.022788003	0.52595575	0.477514657	0.025784369	0.537204465	0.031754045	0.376780534	0.222816123	0.303882567	0.020721595	0.234578016
Marker9	0.024338999	0.013929153	0.01441724	0.039695636	0.022066694	0.019616266	0.078950671	0.019669004	0.024808958	0.0491043	0.016089828	0.052998618	0.035524122	0.019981016	0.026400046	0.062448978	0.016835317	0.02124121	0.034485838	0.022743064	0.566753701	0.014375847	0.015594421	0.051111367	0.38649012	0.42515609	0.02507768	0.413504526	0.108148246	0.033967089	0.076231344	0.223018659	0.026748844	0.093344738	0.125255474	0.017495328	0.434065199	0.017723263	0.027738408	0.020484767	0.35656216	0.084716353	0.203426843	0.189903094	0.053576885	0.644205607	0.192636324	0.013221579	0.02371948	0.6007257
Marker10	0.026911501	0.026247589	0.025109439	0.038192428	0.037029883	0.02263652	0.035453304	0.023760378	0.024034718	0.025384092	0.02516025	0.027975591	0.026777927	0.028080466	0.026746637	0.030880572	0.020545106	0.02393401	0.069271133	0.021075295	0.521595615	0.772211616	0.052500306	0.631769992	0.512762743	0.352419766	0.034640822	0.298720184	0.358609429	0.425223976	0.415729626	0.26240008	0.313206563	0.398059592	0.319203207	0.026260959	0.356791237	0.479511943	0.123992623	0.130070732	0.368200769	0.409886712	0.34307968	0.575777389	0.303943288	0.326983027	0.055401269	0.199887241	0.33561391	0.262254587
Marker11	0.024116379	0.050653751	0.03616206	0.036877964	0.029408914	0.028844551	0.026274789	0.023288032	0.035806873	0.026647302	0.027911994	0.036976011	0.028330838	0.054369219	0.037622178	0.035157786	0.031773524	0.027696123	0.027659758	0.034649601	0.279829178	0.828242823	0.036120655	0.377400965	0.760485286	0.315131633	0.439758952	0.179990143	0.236584694	0.431192311	0.054650022	0.187641729	0.347128262	0.07133652	0.060235204	0.044149447	0.422218544	0.526106475	0.041054822	0.602156421	0.176991276	0.285071096	0.229871749	0.537323981	0.081591104	0.469129413	0.04174754	0.250494166	0.036250832	0.205774456
Marker12	0.024149958	0.023394424	0.018471174	0.025981959	0.026072829	0.023451608	0.043185618	0.017157226	0.032293992	0.029745328	0.016859818	0.026874064	0.018511443	0.394049944	0.022890584	0.024208741	0.020782013	0.017011229	0.057401642	0.016038837	0.530447036	0.485641225	0.044438547	0.498996146	0.354883438	0.103087842	0.338363115	0.174811476	0.333442783	0.354050666	0.207267803	0.174274594	0.325358477	0.085907686	0.16007425	0.018313432	0.149563242	0.116608707	0.139312842	0.293993599	0.418060735	0.40682821	0.328426526	0.316058686	0.153722077	0.46917306	0.079731669	0.154228792	0.026961497	0.558594616
Marker13	0.034979702	0.043192935	0.04818102	0.039774382	0.040357382	0.042001937	0.052856977	0.040746195	0.037046701	0.040883635	0.034617209	0.035202857	0.039146667	0.034260662	0.027917988	0.038597509	0.030320929	0.045489502	0.036037212	0.029672438	0.294550053	0.578432942	0.039921373	0.205878063	0.131699403	0.189658948	0.39136033	0.181265253	0.291349666	0.455313869	0.189694624	0.166913387	0.250730863	0.088834266	0.119335047	0.039159896	0.311334186	0.391658761	0.064055786	0.192812758	0.233037571	0.40798723	0.28280915	0.190068992	0.23472806	0.241302354	0.070708631	0.099825102	0.09521798	0.247568615
Marker14	0.0328126	0.02746134	0.016920057	0.026987093	0.027174618	0.018573439	0.034106528	0.020749152	0.027954301	0.029676875	0.020574212	0.023387434	0.022209802	0.025978307	0.019494656	0.025313288	0.018576601	0.021840566	0.042454968	0.023267543	0.349352078	0.487904341	0.023410716	0.508548599	0.362868213	0.421809343	0.432653894	0.200335598	0.320460138	0.438253641	0.375379133	0.027261045	0.037711161	0.362278101	0.216357245	0.020839006	0.395157246	0.409127826	0.035602944	0.481163907	0.19765986	0.362409444	0.295209093	0.484241458	0.02904967	0.43182721	0.019737217	0.300523189	0.260052764	0.427300382
Marker15	0.034305847	0.029140681	0.02287389	0.021818564	0.033823459	0.029160101	0.042045619	0.019478031	0.026981249	0.035050863	0.019681134	0.024625957	0.024965573	0.033208882	0.030664565	0.028194677	0.032280856	0.029485106	0.031698362	0.035347546	0.679062852	0.774846443	0.027558409	0.642148069	0.378184277	0.083770475	0.535844729	0.392740562	0.20006354	0.337365449	0.201259807	0.088685114	0.34932803	0.335383959	0.128588511	0.037107514	0.260544706	0.380566929	0.060414622	0.354691961	0.227770939	0.390306616	0.130097401	0.705698094	0.186066822	0.475853832	0.047793145	0.255384864	0.059150944	0.402605465
